year,county,Region,milk_kg,milk_unit_price_kshs,milk_total_value_kshs,chevon_kg,chevon_unit_price_kshs,chevon_total_value_kshs
2022,Meru,Semi-Arid,12883454.64,78.88888889,1016361422,1198350,600,719010000
2022,Tharaka-Nithi,Semi-Arid,1512552.6,55.71428571,84270787.71,407261,600,244356600
2022,Nandi,Non-ASAL,6663296.199,41.33333333,275416242.9,50859.27,600,30515562
2022,Nyandarua,Non-ASAL,9823855,46,451897330,247560,620,153487200
2022,Nakuru,Semi-Arid (Low),11480218.38,46.09090909,529133701.5,685255,536.3636364,367545863.6
2022,Nairobi,Non-ASAL,810504.4,70,56735308,68256,450,30715200
2022,Bomet,Non-ASAL,5158551.6,40,206342064,270028,500,135014000
2022,Narok,Semi-Arid (Low),6185897.575,50,309294878.7,1035440.478,600,621264287.1
2022,Nyamira,Non-ASAL,897244.3176,60,53834659.06,201782,600,121069200
2022,Kisii,Non-ASAL,1249091.84,50.90909091,63590130.04,299491.5924,600,179694955.4
2022,Elgeyo-Marakwet,Semi-Arid (Low),2483875,75,186290625,938007,700,656604900
2022,Kericho,Non-ASAL,7350000,50,367500000,168763.35,600,101258010
2022,Baringo,Semi-Arid,1368755.28,40,54750211.2,1468813,500,734406500
2022,Nyeri,Non-ASAL,4668654.4,47,219426756.8,231922,600,139153200
2022,Kirinyaga,Non-ASAL,2517763.72,47,118334894.8,92353,600,55411800
2022,Embu,Non-ASAL,6485042.84,35,226976499.4,580896,600,348537600
2023,Baringo,Semi-Arid,1505630.8,50.83333333,76536232.33,1762579,700,1233805300
2023,Bomet,Non-ASAL,5235963.32,42,219910459.4,"4,315,409.00",700,3020786300
2023,Bungoma,Non-ASAL,3507296.64,66.66666667,233819776,504905,644.4444444,325383222.2
2023,Busia,Non-ASAL,2277377.6,67.14285714,152909638.9,224968,621.4285714,139801542.9
2023,Elgeyo-Marakwet,Semi-Arid (Low),2533552.492,50,126677624.6,1765408,750,1324056000
2023,Embu,Non-ASAL,4451406.84,55,244827376.2,587091,800,469672800
2023,Garissa,Arid,40894,70,2862580,"913,645.00",1200,1096374000
2023,Homa Bay,Non-ASAL,900113.84,85,76509676.4,"1,108,430.00",593.75,658130312.5
2023,Isiolo,Arid,3408019.32,76.66666667,261281481.2,"1,834,732.00",716.6666667,1314891267
2023,Kajiado,Semi-Arid,3672341.6,90,330510744,"3,100,257.00",800,2480205600
2023,Kakamega,Non-ASAL,7163026.4,65,465596716,148728,554.1666667,82420100
2023,Kericho,Non-ASAL,7806960.884,40,312278435.4,381888,633.3333333,241862400
2023,Kiambu,Non-ASAL,15229563.33,46.91666667,714520346.1,212260.2,450,95517090
2023,Kilifi,Semi-Arid,1296597,70,90761790,266976,800,213580800
2023,Kirinyaga,Non-ASAL,2614398.96,54,141177543.8,94239,500,47119500
2023,Kisii,Non-ASAL,2527183.36,60,151631001.6,311475,663.6363636,206706136.4
2023,Kisumu,Non-ASAL,2243789.36,85,190722095.6,"758,145.00",600,454887000
2023,Kitui,Semi-Arid,1775486.8,70,124284076,"8,890,826.00",900,8001743400
2023,Kwale,Semi-Arid,1208282.28,65,78538348.2,"1,788,556.00",800,1430844800
2023,Laikipia,Semi-Arid,1500674,60,90040440,1181350,633.3333333,748188333.3
2023,Lamu,Semi-Arid (Low),10607365.72,80,848589257.6,355210,600,213126000
2023,Machakos,Semi-Arid (Low),1548457.2,60,92907432,1106006,800,884804800
2023,Makueni,Semi-Arid,799428.24,50,39971412,"2,650,742.00",733.3333333,1943877467
2023,Mandera,Arid,15329.16,166.6666667,2554860,"2,592,000.00",566.6666667,1468800000
2023,Marsabit,Arid,78920,125,9865000,"2,440,800.00",600,1464480000
2023,Meru,Semi-Arid,12883454.64,78.88888889,1016361422,1198350,600,719010000
2023,Migori,Non-ASAL,1313796.96,75,98534772,"1,228,376.00",587.5,721670900
2023,Mombasa,Non-ASAL,76048.88,100,7604888,120713,740,89327620
2023,Murang'a,Non-ASAL,10124010.88,44,445456478.7,89286,700,62500200
2023,Nairobi,Non-ASAL,786122.4,70,55028568,67634,700,47343800
2023,Nakuru,Semi-Arid (Low),12759137.24,47.72727273,608958822.8,927027,581.8181818,539361163.6
2023,Nandi,Non-ASAL,7618309.44,44.33333333,337745051.8,60541,650,39351650
2023,Narok,Semi-Arid (Low),4446939.52,45,200112278.4,1024465,700,717125500
2023,Nyamira,Non-ASAL,1490050.96,54,80462751.84,205818,800,164654400
2023,Nyandarua,Non-ASAL,11873385.6,42,498682195.2,164880,800,131904000
2023,Nyeri,Non-ASAL,4498516.032,43.25,194560818.4,244185,693.75,169403343.8
2023,Samburu,Arid,2620152.764,80,209612221.1,"1,820,298.10",800,1456238480
2023,Siaya,Non-ASAL,999587.2,75,74969040,"617,469.00",583.3333333,360190250
2023,Taita Taveta,Semi-Arid,1328061.52,55,73043383.6,97500,700,68250000
2023,Tana River,Arid,1526987.6,76.66666667,117069049.3,"331,213.00",400,132485200
2023,Tharaka-Nithi,Semi-Arid,1673280.24,64.28571429,107568015.4,386694,742.8571429,287258400
2023,Trans Nzoia,Non-ASAL,7861784.64,50.6,397806302.8,118836,750,89127000
2023,Turkana,Arid,11246823.11,101.4285714,1140749201,"15,114,198.70",524.2857143,7924158461
2023,Uasin-Gishu,Non-ASAL,17633230.88,40,705329235.4,559844,700,391890800
2023,Vihiga,Non-ASAL,1498139.6,75,112360470,,,0
2023,Wajir,Arid,5571466.584,95.625,532771492.1,"10,770,368.40",800,8616294720
2023,West Pokot,Semi-Arid,5899952.52,70,412996676.4,"3,077,108.30",532.5,1638560170
